Approved loan,Duration (in months),Currency,Age,Number of family members ,Number of years at the current address,Employment Type ,Current years at job,Credit Registry Information,Monthly Installment of the loan,Other installments of other loans,Monthly Income ,Reference,Other debitors/guarantors,Number of existing credits at the bank,Collateral Type_Residential,Collateral Type_Commercial,Collateral Type_Land,Collateral Type_Deposits pledge,Collateral Type_Others,Savings_ALL,Current account_ALL,M,F,Married,Single,Widowed,Divorced,Separated,University,College/High school,Secondary/Less than high school,Elementary,Residential Status_Owner,Residential Status_Co-owner,Residential Status_Live with parents,Residential Status_Others,Residential Status_Rent,Consumer loan,Furniture loan,Loan for car purchase,Mortgage loan,Education loan,Reconstruction loan,Holidays loan ,Medical loan,Loan for energy efficence,Loan classification
190520.86,36,0,44,4,16.75,7,5.83,3,9235.73,63180,298949,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
600000,12,0,52,3,17.58,7,5.58,2,52071.95,0,200000,1,0,1,0,0,0,0,0,0,1339.309,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
500000,1,0,66,2,2.16,7,1.16,1,528635.62,0,100000,2,0,1,0,0,0,1,0,1110941.94,65876.16,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
242146.22,36,0,33,1,16.25,7,16.25,2,14898.07,2500,55000,2,0,1,0,0,0,1,0,647598.567,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
635375.59,48,0,52,1,33.5,7,16.5,2,17264.15,0,40000,2,1,1,0,0,0,0,0,821.631,77136.39,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2000000,24,0,53,3,17.16,6,3.08,2,88461.06,10000,437864,1,0,1,0,0,0,1,0,2209100.46,174386.46,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
500000,24,0,48,5,20.33,7,1.75,2,23049.4,0,137000,1,1,1,0,0,0,0,0,0,698.77,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
550000,24,0,55,3,21.66,6,31.66,2,23980.62,0,235000,1,0,1,0,0,0,1,0,1329632.95,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
150000,12,0,49,4,17.83,6,16.83,2,12892.98,0,38076,2,0,2,0,0,0,0,0,0,3817.9,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1000000,36,0,45,4,17.33,6,12.33,2,30993.81,0,89000,2,1,1,0,0,0,0,0,4805.4015,2970.23,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2000000,36,0,46,3,22.5,6,22.5,3,62800.24,0,121844,2,1,1,0,0,0,0,1,0,12920.06,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1500000,84,0,57,4,12.5,6,12.5,2,28392.51,29200,170000,1,1,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2800000,60,0,44,5,13.5,6,19,2,50760.55,36000,235000,2,0,1,0,0,0,1,0,0,11794.83,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
310539.59,36,0,47,3,6.25,6,15.25,2,33118.85,20000,120000,2,1,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
560000,12,0,43,1,11.66,6,15.66,3,48068.59,0,92540,1,1,1,0,0,0,0,0,0,143.39,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8660966.81,132,0,45,3,12.5,6,17.5,2,101154.07,100000,386990,1,1,1,1,0,0,0,0,388104.981,295011.3425,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
450245.81,36,0,48,3,17.33,6,19.33,2,22627.1,0,70936,1,1,1,0,0,0,0,0,0,1266.33,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1500000,60,0,42,1,5.5,6,3.41,2,30071.53,0,105000,1,0,1,0,0,0,0,0,0,59370.74,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1000000,36,0,55,2,13.33,6,13.41,2,32533.62,48487,189300,2,1,1,0,0,0,0,0,0,10620.21,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2750324.23,84,0,38,1,15.58,6,9.66,2,50852.09,0,103000,1,1,1,1,0,0,0,0,1470.427,28199.823,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
80000,12,0,59,3,13.91,6,15.91,2,6940.59,0,53170,2,0,1,0,0,0,0,0,1001071.78,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
550000,16,0,45,1,15.08,6,15.75,2,36054.12,0,62600,2,1,1,0,0,0,0,0,0,521.5,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
105961.03,24,0,46,3,16.5,6,2.5,4,13691.67,14000,87000,2,0,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
200000,24,0,37,3,5.66,6,3.91,2,8954.51,0,45000,2,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
300000,24,0,58,3,18.66,6,13.66,2,13134.56,0,65000,2,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
900000,48,0,55,3,15.08,6,15.08,2,23860.37,0,150000,1,1,1,0,0,0,0,0,0,1213.58,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
692469.28,60,0,56,3,49.58,6,30.41,3,15728.89,17823,89910,2,1,2,0,0,0,0,1,0,1366783.77,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
848365.3,60,0,45,5,20.58,6,14.58,4,21285.68,20250,106823,1,1,1,0,0,0,0,0,6692.703,984.69,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1000000,36,0,39,4,18.41,6,8.41,2,30962.62,7533,297787,2,1,2,0,0,0,0,0,0,60747.7,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
300000,1,0,57,2,18.41,7,3.41,2,311820,0,50000,2,0,1,0,0,0,1,0,1259719.03,419504.29,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
372235.59,60,0,56,2,14.58,6,6.58,2,19881.78,0,80000,2,1,1,0,0,0,1,0,0,3040.45,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
500000,36,0,45,4,13,6,24,1,15876.62,0,106000,2,1,1,0,0,0,0,0,0,71267.92,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2000000,96,0,41,3,16.66,6,16.75,2,27688.27,0,155167,2,1,1,0,0,1,0,0,0,12299.29,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
362786.02,48,0,53,4,36.75,6,17.75,2,14167.85,0,64500,2,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
150000,12,0,55,3,25.33,6,35.33,2,12991.15,0,88000,2,1,1,0,0,0,0,0,0,131.61,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
100000,12,0,48,2,18,6,26,1,8606.64,0,47000,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
800999.77,60,0,45,6,21.66,6,21.66,1,23737.49,0,171877,2,1,1,0,0,0,0,0,0,59508.915,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
527125.15,36,0,46,4,25.16,6,20.83,2,19767.22,0,91362,2,1,1,0,0,0,0,0,1801142.84,2993.58,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
160000,12,0,47,4,22.33,6,23.83,2,13794.94,0,50000,1,0,1,0,0,0,0,0,0,1950.08,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
300000,36,0,47,4,17.66,6,16.66,1,9235.73,0,50000,2,0,1,0,0,0,0,0,0,677248.71,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
300000,12,0,56,4,37.33,6,22.08,2,25854.55,0,100780,2,1,1,0,0,0,0,0,0,659.74,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
150000,18,0,58,3,13.16,6,38.41,2,8749.52,0,40000,2,1,1,0,0,0,0,0,0,724.73,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
200000,24,0,50,4,49.91,6,23.41,2,9158.05,0,200000,2,0,1,0,0,0,1,0,0,93362.97,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
500000,36,0,54,4,25,6,35,2,17553.84,8700,220000,2,1,1,0,0,0,0,0,1099153.84,77882.82,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
400000,36,0,53,1,15.41,6,24.41,2,12345.86,0,60000,2,0,1,0,0,0,0,0,1002.11,27512.32,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
150000,24,0,45,4,19.58,6,24.58,2,6567.28,21000,89000,2,1,1,0,0,0,0,0,0,198.77,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
400000,36,0,43,6,17.58,6,15.58,2,13488.04,30000,138750,2,1,1,0,0,0,0,0,0,12845.04,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
600000,36,0,38,2,15.83,6,15.83,3,18471.45,0,60000,2,1,1,0,0,0,0,0,548.45,594.38,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
500000,36,0,46,4,25.58,6,17.58,2,15392.88,0,73430,2,1,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
500000,36,0,56,2,22.66,6,21.66,3,15398.02,9044,73132,1,1,1,0,0,0,0,0,0,20855.63,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
