var_name,split_list,sub_total_sample_num,positive_sample_num,negative_sample_num,sub_total_num_percentage,positive_rate_in_sub_total,woe_list,iv_list,iv
Approved loan,"(-INF,103000.0]",243,217,26,0.07680151706700379,0.8930041152263375,-0.8997882221784101,0.09442885206972171,1.1048336834796213
Approved loan,"(103000.0,183843.08000000007]",295,245,50,0.09323640960809103,0.8305084745762712,-1.432352039098562,0.3708792071569916,1.1048336834796213
Approved loan,"(183843.08000000007,201000.9]",347,319,28,0.10967130214917825,0.9193083573487032,-0.5886023177133035,0.049879728782893026,1.1048336834796213
Approved loan,"(201000.9,260000.0]",187,161,26,0.059102402022756004,0.8609625668449198,-1.198281050445974,0.14799624902162056,1.1048336834796213
Approved loan,"(260000.0,300000.0]",408,380,28,0.12895069532237674,0.9313725490196079,-0.4136222180994312,0.026688520386088634,1.1048336834796213
Approved loan,"(300000.0,450000.0]",410,368,42,0.12958280657395702,0.8975609756097561,-0.8511744417052153,0.13937084389099885,1.1048336834796213
Approved loan,"(450000.0,500000.0]",385,373,12,0.12168141592920353,0.9688311688311688,0.41507805227335776,0.017433048895927228,1.1048336834796213
Approved loan,"(500000.0,795302.0]",259,245,14,0.08185840707964602,0.9459459459459459,-0.15939150611930733,0.002236620799466755,1.1048336834796213
Approved loan,"(795302.0,1248405.44]",403,363,40,0.12737041719342604,0.9007444168734491,-0.8160644967442299,0.12387148576848064,1.1048336834796213
Approved loan,"(1248405.44,+INF)",227,199,28,0.07174462705436156,0.8766519823788547,-1.0604884067407938,0.1320491267074325,1.1048336834796213
Duration (in months),"(-INF,12.0]",310,286,24,0.0979772439949431,0.9225806451612903,-0.5436514889161154,0.03722370769810999,0.8834444451864929
Duration (in months),"(12.0,22.0]",241,219,22,0.07616940581542352,0.9087136929460581,-0.7235604647454544,0.05576614131557852,0.8834444451864929
Duration (in months),"(22.0,24.0]",897,803,94,0.2835018963337547,0.89520624303233,-0.876526659999795,0.3272056437843997,0.8834444451864929
Duration (in months),"(24.0,36.0]",988,922,66,0.3122629582806574,0.9331983805668016,-0.38469657754066006,0.055157275169894986,0.8834444451864929
Duration (in months),"(36.0,72.0]",503,447,56,0.15897597977243996,0.8886679920477137,-0.9443803105009752,0.21984475147452712,0.8834444451864929
Duration (in months),"(72.0,+INF)",225,193,32,0.07111251580278129,0.8577777777777778,-1.224633973135702,0.18824692574398255,0.8834444451864929
Age,"(-INF,19.0]",1,1,0,0.0003160556257901391,1.0,6.188854714596191,0.0020473224105185157,1.603014894167539
Age,"(19.0,20.0]",6,4,2,0.0018963337547408343,0.6666666666666666,-2.328463470882916,0.028594157667648643,1.603014894167539
Age,"(20.0,21.0]",8,8,0,0.0025284450063211127,1.0,8.26820876119757,0.02191896831166221,1.603014894167539
Age,"(21.0,22.0]",20,18,2,0.006321112515802781,0.9,-0.8244055182540236,0.006298373841267673,1.603014894167539
Age,"(22.0,23.0]",37,29,8,0.011694058154235146,0.7837837837837838,-1.7337404157256457,0.07768928648140147,1.603014894167539
Age,"(23.0,24.0]",64,54,10,0.020227560050568902,0.84375,-1.3351948469099593,0.06693236069849824,1.603014894167539
