var_name,split_list,sub_total_sample_num,positive_sample_num,negative_sample_num,sub_total_num_percentage,positive_rate_in_sub_total,woe_list,iv_list,iv
Approved loan,"(-INF,32000.0]",317,287,30,0.08500938589434165,0.9053627760252366,-0.4409351273481599,0.020070995975344338,1.1405789129850499
Approved loan,"(32000.0,46030.0]",301,239,62,0.08071869133816037,0.7940199335548173,-1.3498890041553946,0.2638050386712949,1.1405789129850499
Approved loan,"(46030.0,54000.0]",367,315,52,0.09841780638240816,0.8583106267029973,-0.8978896619204442,0.11773348511561658,1.1405789129850499
Approved loan,"(54000.0,68000.0]",478,368,110,0.1281844998659158,0.7698744769874477,-1.4916150415247305,0.5411013925220113,1.1405789129850499
Approved loan,"(68000.0,79000.0]",293,257,36,0.07857334406006973,0.8771331058020477,-0.7336622187796703,0.05842682035379918,1.1405789129850499
Approved loan,"(79000.0,87000.0]",195,181,14,0.05229283990345937,0.9282051282051282,-0.13978386524487338,0.0010863686072041076,1.1405789129850499
Approved loan,"(87000.0,95000.0]",188,168,20,0.05041566103513006,0.8936170212765957,-0.5709896754501569,0.021140523230364514,1.1405789129850499
Approved loan,"(95000.0,100000.0]",366,334,32,0.09814963797264682,0.912568306010929,-0.35381471196683356,0.014357151934045714,1.1405789129850499
Approved loan,"(100000.0,120000.0]",309,269,40,0.08286403861625101,0.8705501618122977,-0.7933871793116724,0.07396275707327296,1.1405789129850499
Approved loan,"(120000.0,149000.0]",242,218,24,0.06489675516224189,0.9008264462809917,-0.49277945205119456,0.019580780425343988,1.1405789129850499
Approved loan,"(149000.0,194199.99999999983]",310,284,26,0.08313220702601233,0.9161290322580645,-0.30834277044395464,0.009051863532243689,1.1405789129850499
Approved loan,"(194199.99999999983,+INF)",363,339,24,0.09734513274336283,0.9338842975206612,-0.051274571190117316,0.00026173554450855947,1.1405789129850499
Age,"(-INF,26.0]",348,262,86,0.09332260659694289,0.7528735632183908,-1.5852205501529593,0.4612550379892843,0.961566202927512
Age,"(26.0,+INF)",3381,2997,384,0.9066773934030571,0.8864241348713399,-0.6444926888708398,0.5003111649382277,0.961566202927512
Gender,['M'],1849,1531,318,0.4958433896486994,0.8280151433207139,-1.127592212820911,1.031760574504795,1.0726202890265364
Gender,['F'],1880,1728,152,0.5041566103513007,0.9191489361702128,-0.26837814805627,0.0408597145217414,1.0726202890265364
Marital Status,['Marital Status_Single'],926,772,154,0.2483239474389917,0.8336933045356372,-1.087185548755464,0.4722400752544777,0.8773978011045405
Marital Status,"['Marital Status_Divorced', 'Marital Status_Married']",2752,2440,312,0.7379994636631805,0.8866279069767442,-0.642467125601241,0.40431738574055726,0.8773978011045405
Marital Status,"['Marital Status_Seperated', 'Marital Status_Widowed']",51,47,4,0.013676588897827836,0.9215686274509803,-0.23538660798986902,0.000840340109505474,0.8773978011045405
Number of family members ,[1],1057,887,170,0.28345400911772595,0.8391674550614948,-1.047170906786081,0.4916895551288778,0.9266930441729418
Number of family members ,"[2, 6]",691,595,96,0.1853043711450791,0.8610709117221418,-0.8750046360709608,0.20844282231528186,0.9266930441729418
Number of family members ,"[4, 7]",880,774,106,0.2359882005899705,0.8795454545454545,-0.7110850112690064,0.16322360296254965,0.9266930441729418
Number of family members ,[5],209,185,24,0.05604719764011799,0.8851674641148325,-0.6569186079370555,0.03230735290513898,0.9266930441729418
Number of family members ,[3],889,815,74,0.23840171627782247,0.9167604049493814,-0.30009518516420935,0.024498871205060304,0.9266930441729418
Number of family members ,"[8, 9]",3,3,0,0.0008045052292839903,1.0,7.60976901687224,0.006530839656033237,0.9266930441729418
Education Type,['Education_Secondary/Less than high school'],251,201,50,0.06731027085009386,0.8007968127490039,-1.3079365764045991,0.20304298185088418,0.954085582296957
Education Type,['Education_College/High school'],1186,998,188,0.31804773397693753,0.8414839797639123,-1.0299060947826846,0.5297506187252369,0.954085582296957
Education Type,['Education_University'],2286,2054,232,0.6130329847144006,0.8985126859142607,-0.5184103400765485,0.20703729292422443,0.954085582296957
Education Type,"['Education_Elementary', 'Education_Without education']",6,6,0,0.0016090104585679806,1.0,8.302899531182174,0.014254688796611396,0.954085582296957
Number of years at the current address,"(-INF,3.75]",304,232,72,0.08152319656744436,0.7631578947368421,-1.5291466817531227,0.3669704827668014,1.4165119511540172
Number of years at the current address,"(3.75,5.83]",249,219,30,0.0667739340305712,0.8795180722891566,-0.7113455051023748,0.04622400863758822,1.4165119511540172
Number of years at the current address,"(5.83,7.41]",194,152,42,0.05202467149369804,0.7835051546391752,-1.413007797041961,0.19106783688659698,1.4165119511540172
Number of years at the current address,"(7.41,8.83]",192,188,4,0.05148833467417538,0.9791666666666666,1.1509061573874628,0.04233591262518632,1.4165119511540172
Number of years at the current address,"(8.83,10.83]",214,188,26,0.05738803968892464,0.8785046728971962,-0.7208748659730732,0.04096888243540453,1.4165119511540172
Number of years at the current address,"(10.83,13.16]",193,185,8,0.051756503083936714,0.9585492227979274,0.4416853474671648,0.008350044091972937,1.4165119511540172
Number of years at the current address,"(13.16,17.0]",421,341,80,0.11289890050951998,0.8099762470308789,-1.2493620906843377,0.3033826591703736,1.4165119511540172
Number of years at the current address,"(17.0,19.66]",685,619,66,0.18369536068651113,0.9036496350364963,-0.46076779949116425,0.047777295844674876,1.4165119511540172
Number of years at the current address,"(19.66,21.83]",188,164,24,0.05041566103513006,0.8723404255319149,-0.7774079359756646,0.04290549316630278,1.4165119511540172
Number of years at the current address,"(21.83,24.409999999999997]",192,188,4,0.05148833467417538,0.9791666666666666,1.1509061573874628,0.04233591262518632,1.4165119511540172
Number of years at the current address,"(24.409999999999997,27.5]",270,214,56,0.07240547063555913,0.7925925925925926,-1.3585939706862216,0.2405396273981096,1.4165119511540172
Number of years at the current address,"(27.5,36.87799999999999]",376,336,40,0.10083132207026012,0.8936170212765957,-0.5709874730784468,0.04228065674650409,1.4165119511540172
Number of years at the current address,"(36.87799999999999,+INF)",251,233,18,0.06731027085009386,0.9282868525896414,-0.13855540723597332,0.0013731387593154628,1.4165119511540172
Employment Type ,['Employment_Privated sector'],966,766,200,0.2590506838294449,0.7929606625258799,-1.356352542808869,0.856985930554637,1.1022563894467352
Employment Type ,['Employment_Public sector'],2750,2480,270,0.7374631268436578,0.9018181818181819,-0.48162542643691153,0.21150501556022838,1.1022563894467352
Employment Type ,"['Employment_Administator', 'Employment_Self_emplyed', 'Employment_Unemplyed']",13,13,0,0.0034861893268972916,1.0,9.076080445165983,0.03376544333186983,1.1022563894467352
Current years at job,"(-INF,0.75]",195,137,58,0.05229283990345937,0.7025641025641025,-1.839680055477841,0.3819154328615821,1.4407696914784596
Current years at job,"(0.75,4.0]",1286,1068,218,0.34486457495307055,0.8304821150855366,-1.1101693849013285,0.6905177126818375,1.4407696914784596
Current years at job,"(4.0,4.83]",216,176,40,0.057924376508447305,0.8148148148148148,-1.2176143674408455,0.14592024087091737,1.4407696914784596
Current years at job,"(4.83,6.25]",275,243,32,0.07374631268436578,0.8836363636363637,-0.6718941494815891,0.04476347858260932,1.4407696914784596
Current years at job,"(6.25,7.33]",189,171,18,0.050683829444891394,0.9047619047619048,-0.4479301486883207,0.012387552968250932,1.4407696914784596
Current years at job,"(7.33,8.5]",236,206,30,0.0632877447036739,0.8728813559322034,-0.7725410373134195,0.05307492684842594,1.4407696914784596
Current years at job,"(8.5,10.83]",310,286,24,0.08313220702601233,0.9225806451612903,-0.22128281308563366,0.004486165734197523,1.4407696914784596
Current years at job,"(10.83,13.08]",197,191,6,0.052829176722982034,0.9695431472081218,0.7612808393010251,0.022178264082493144,1.4407696914784596
Current years at job,"(13.08,16.58]",206,184,22,0.055242692410834,0.8932038834951457,-0.5753276742652749,0.02356295476681205,1.4407696914784596
Current years at job,"(16.58,21.58]",293,279,14,0.07857334406006973,0.9522184300341296,0.2929306912475059,0.005939553048347253,1.4407696914784596
Current years at job,"(21.58,+INF)",326,318,8,0.08742290158219362,0.9754601226993865,0.9833806790939815,0.056023409032986575,1.4407696914784596
Residential Status,"['Residential Status_Others', 'Residential Status_Rent']",285,225,60,0.07642799678197908,0.7894736842105263,-1.3774623587884556,0.2629898495785541,0.8677660255343057
Residential Status,"['Residential Status_Co-owner', 'Residential Status_Live with parents']",1503,1315,188,0.4030571198712792,0.8749168330006654,-0.7540674506370549,0.3194538311906488,0.8677660255343057
Residential Status,['Residential Status_Owner'],1940,1720,220,0.5202467149369804,0.8865979381443299,-0.6427653495005238,0.2853223447651029,0.8677660255343057
Credit Registry Information,['Credit Registry Information_currently categorized'],242,188,54,0.06489675516224189,0.7768595041322314,-1.4517603802195531,0.2554823966056248,1.1222561659452006
Credit Registry Information,['Credit Registry Information_Not have history'],475,381,94,0.1273799946366318,0.8021052631578948,-1.2997131850552102,0.37815976713807475,1.1222561659452006
Credit Registry Information,['Credit Registry Information_been categorized'],637,523,114,0.1708232770179673,0.8210361067503925,-1.1758346468674425,0.39440034482568376,1.1222561659452006
Credit Registry Information,['Credit Registry Information_Not and has not been categorized'],2375,2167,208,0.636899973183159,0.9124210526315789,-0.3556564893371713,0.09421365737581747,1.1222561659452006
Monthly Installment of the loan,"(-INF,2300.0]",228,186,42,0.061142397425583264,0.8157894736842105,-1.2111417644352924,0.15198579916328867,0.9921151536319446
Monthly Installment of the loan,"(2300.0,3300.0]",448,394,54,0.12013944757307589,0.8794642857142857,-0.7118517118592463,0.08330294557013293,0.9921151536319446
Monthly Installment of the loan,"(3300.0,5000.0]",1195,1009,186,0.3204612496647895,0.8443514644351464,-1.0082490684356766,0.5068558724591667,0.9921151536319446
Monthly Installment of the loan,"(5000.0,5600.0]",230,204,26,0.06167873424510593,0.8869565217391304,-0.6391968766776001,0.03339988443561347,0.9921151536319446
Monthly Installment of the loan,"(5600.0,6050.0]",293,271,22,0.07857334406006973,0.9249146757679181,-0.18814478546905095,0.0030208308750856606,0.9921151536319446
Monthly Installment of the loan,"(6050.0,7740.0]",370,330,40,0.09922231161169215,0.8918918918918919,-0.5890059731698711,0.04462635466020088,0.9921151536319446
Monthly Installment of the loan,"(7740.0,9900.0]",223,183,40,0.059801555376776616,0.820627802690583,-1.178612231371295,0.13888490976148274,0.9921151536319446
Monthly Installment of the loan,"(9900.0,11400.0]",406,380,26,0.10887637436310002,0.9359605911330049,-0.01714584483948322,3.224831901861594e-05,0.9921151536319446
Monthly Installment of the loan,"(11400.0,+INF)",336,302,34,0.09010458567980692,0.8988095238095238,-0.5151530938375073,0.030006308387954934,0.9921151536319446
Other installments of other loans,"(-INF,+INF)",3729,3259,470,1.0,0.8739608474121748,-0.7627741744980617,0.8140772623139634,0.8140772623139634
Monthly Income ,"(-INF,26640.0]",272,200,72,0.07294180745508179,0.7352941176470589,-1.677566617905911,0.4179529583976631,1.302421731383007
Monthly Income ,"(26640.0,32828.0]",316,278,38,0.08474121748458031,0.879746835443038,-0.7091842944489112,0.05825066473758668,1.302421731383007
Monthly Income ,"(32828.0,39591.5]",316,298,18,0.08474121748458031,0.9430379746835443,0.10749953208968664,0.0009344854108059706,1.302421731383007
Monthly Income ,"(39591.5,41800.0]",195,161,34,0.05229283990345937,0.8256410256410256,-1.1441754562358672,0.1128182805771514,1.302421731383007
Monthly Income ,"(41800.0,49401.41]",314,280,34,0.08420488066505766,0.89171974522293,-0.5907904820261068,0.038131903840107256,1.302421731383007
Monthly Income ,"(49401.41,51502.12]",284,236,48,0.07615982837221776,0.8309859154929577,-1.1065878420345634,0.15128312253351223,1.302421731383007
Monthly Income ,"(51502.12,58889.59999999999]",205,163,42,0.054974524001072674,0.7951219512195122,-1.3431381614792512,0.17739147885618056,1.302421731383007
Monthly Income ,"(58889.59999999999,69981.12]",379,345,34,0.10163582729954411,0.9102902374670184,-0.3820357354517596,0.017550931666957356,1.302421731383007
Monthly Income ,"(69981.12,75000.0]",196,160,36,0.052561008313220706,0.8163265306122449,-1.2075642525462411,0.12969131226994318,1.302421731383007
Monthly Income ,"(75000.0,85710.2]",251,237,14,0.06731027085009386,0.9442231075697212,0.129779114079236,0.0010714176513291623,1.302421731383007
Monthly Income ,"(85710.2,97000.0]",188,154,34,0.05041566103513006,0.8191489361702128,-1.1886271905740822,0.11958265851266495,1.302421731383007
Monthly Income ,"(97000.0,114946.23999999996]",363,321,42,0.09734513274336283,0.8842975206611571,-0.6654475411263107,0.05779546379774964,1.302421731383007
Monthly Income ,"(114946.23999999996,149106.72]",189,183,6,0.050683829444891394,0.9682539682539683,0.7184935869836819,0.0192866591891843,1.302421731383007
Monthly Income ,"(149106.72,+INF)",261,243,18,0.06999195494770716,0.9310344827586207,-0.0965324351230336,0.000680393942171506,1.302421731383007
Reference,"['Reference not from bank staff', 'Reference_no information']",2852,2482,370,0.7648163046393135,0.8702664796633941,-0.7959002464037065,0.6877436617298762,0.8195780889342117
Reference,['Reference from bank staff'],877,777,100,0.2351836953606865,0.8859749144811858,-0.6489476834696665,0.13183442720433544,0.8195780889342117
