bad_f,good_ls,type1_f,type2_f,total accuracy_f,AUC_ls,b_f
0.532,0.833,0.589,0.799,0.74,0.6827956989247312,0.5124998562552047
0.609,0.831,0.629,0.819,0.76,0.7201286764705883,0.17829394508445098
0.661,0.773,0.549,0.845,0.74,0.7170332972713067,0.40355717584546424
0.493,0.924,0.773,0.776,0.775,0.7082088726629052,0.22702112442836694
0.529,0.879,0.692,0.784,0.76,0.7040998217468806,0.2624480210243359
0.611,0.925,0.75,0.865,0.84,0.7678843226788432,0.2125418960116933
0.492,0.809,0.518,0.792,0.715,0.650018031013343,0.46777108600541845
0.661,0.799,0.561,0.858,0.76,0.7296626984126984,0.9441505694819904
0.5,0.893,0.667,0.806,0.775,0.6964285714285714,0.3086294005877929
0.578,0.757,0.529,0.792,0.7,0.6677389705882353,0.8851962842684671
