bad_f,good_ls,type1_f,type2_f,total accuracy_f,AUC_ls,b_f
0.875,0.639,0.485,0.929,0.705,0.7569444444444444,-0.17337915606984322
0.851,0.677,0.57,0.9,0.735,0.7637189989900124,0.07617045814823467
0.812,0.654,0.525,0.881,0.705,0.7334558823529412,0.2817811523912974
0.776,0.746,0.556,0.891,0.755,0.7611704711024769,-0.24861268768728081
0.895,0.58,0.459,0.933,0.67,0.7375782112624218,0.016940298235560116
0.768,0.688,0.489,0.884,0.71,0.7276785714285714,-0.26212382219605007
0.873,0.599,0.5,0.911,0.685,0.7357780095006372,-0.4182227815106272
0.833,0.686,0.532,0.906,0.73,0.7595238095238096,-0.23670677283626856
0.727,0.649,0.505,0.829,0.675,0.6882632293080054,0.043138967389917786
0.824,0.667,0.56,0.88,0.72,0.7450980392156862,-0.0736294934952121
0.808,0.682,0.472,0.91,0.715,0.7450623700623701,-0.2833069019340072
