bad_f,good_ls,type1_f,type2_f,total accuracy_f,AUC_ls,b_f
0.635,0.92,0.784,0.846,0.83,0.7773143320588576,0.3730244873421851
0.66,0.935,0.756,0.899,0.87,0.7971074954804617,0.7531146006864479
0.515,0.91,0.739,0.792,0.78,0.7127996381727725,0.6672391129227073
0.593,0.918,0.727,0.859,0.83,0.7552004058853373,0.47423750400951853
0.613,0.891,0.717,0.837,0.805,0.7521037868162692,0.4703187470389559
0.526,0.909,0.698,0.828,0.8,0.7177033492822967,0.17532774522230632
0.629,0.964,0.886,0.853,0.86,0.7964001870032724,0.690737221989197
0.596,0.937,0.791,0.854,0.84,0.7667770825665563,0.4950085107266174
0.651,0.869,0.695,0.844,0.8,0.759703394739891,0.9220589950160586
0.533,0.929,0.762,0.823,0.81,0.7309523809523809,0.34618149202113757
