bad_f,good_ls,type1_f,type2_f,total accuracy_f,AUC_ls,b_f
0.694,0.587,0.43,0.81,0.62,0.6402524544179523,1.8932432417755043
0.81,0.715,0.567,0.891,0.745,0.7624261383385471,-0.3177242582193437
0.65,0.643,0.438,0.811,0.645,0.6464285714285715,0.06186030975653386
0.775,0.566,0.495,0.82,0.64,0.6702696800960805,-0.11663976066627109
0.754,0.622,0.443,0.864,0.66,0.6883817936449516,-0.17348223883118688
0.746,0.672,0.511,0.852,0.695,0.7087822963735373,0.5315449074416214
0.714,0.618,0.421,0.848,0.645,0.666170634920635,-0.4626086970440764
0.623,0.691,0.469,0.807,0.67,0.6567991508432598,0.10481447961541121
0.638,0.62,0.407,0.807,0.625,0.6288246721709568,0.048910212484272485
0.679,0.639,0.422,0.836,0.65,0.6587301587301587,0.13864926566182734
