bad_f,good_ls,type1_f,type2_f,total accuracy_f,AUC_ls,b_f
0.519,0.801,0.491,0.818,0.725,0.6599441907661086,1.1175284389342413
0.517,0.761,0.469,0.794,0.69,0.6389023797960174,0.8946117364852181
0.529,0.792,0.578,0.757,0.7,0.6604395604395603,0.8003289970638137
0.556,0.774,0.476,0.825,0.715,0.6647640791476408,0.7610761999850268
0.557,0.799,0.548,0.804,0.725,0.6779691001297322,0.6188588420200679
0.509,0.814,0.509,0.814,0.73,0.6614420062695924,0.6175094171088563
0.609,0.809,0.6,0.815,0.745,0.7090992647058824,0.66560276544711
0.672,0.754,0.527,0.849,0.73,0.7129674599320059,0.8485402311785083
0.576,0.794,0.54,0.818,0.73,0.6852987137877149,1.3124157970297725
0.491,0.782,0.448,0.81,0.705,0.6364394814529586,0.656302032684981
