bad_ls,good_ls,type1_ls,type2_ls,total accuracy_ls,AUC_ls,b_ls
0.452,0.928,0.737,0.79,0.78,0.6895745675549323,0.541334556078242
0.562,0.919,0.766,0.817,0.805,0.7408088235294117,0.2529217187446378
0.559,0.872,0.647,0.826,0.78,0.71583122971511,0.4293680361573335
0.478,0.954,0.846,0.776,0.79,0.7162296714238301,0.12252517819920056
0.456,0.947,0.816,0.772,0.78,0.7014260249554367,0.3227499020905436
0.519,0.952,0.8,0.842,0.835,0.7352866565195333,0.19139788254337098
0.39,0.922,0.676,0.783,0.765,0.6559081620387066,0.39893779182325056
0.607,0.882,0.667,0.852,0.805,0.7445436507936509,1.2313560169444173
0.483,0.929,0.744,0.807,0.795,0.7059523809523809,0.2027020480254815
0.531,0.904,0.723,0.804,0.785,0.7178308823529411,-0.6991874750293414
