bad_ls,good_ls,type1_ls,type2_ls,total accuracy_ls,AUC_ls,b_ls
0.462,0.948,0.811,0.785,0.79,0.7048433048433049,0.34713550421349065
0.661,0.935,0.82,0.86,0.85,0.7980364656381489,4.589389560665166
0.403,0.957,0.806,0.781,0.785,0.6798737727910238,0.3143721336768583
0.577,0.946,0.854,0.803,0.815,0.7616006114204608,0.9770940130309441
0.661,0.943,0.83,0.869,0.86,0.80213968025003,0.9245642029386633
0.493,0.915,0.761,0.766,0.765,0.7038432143247079,1.1335201542375093
0.603,0.937,0.795,0.853,0.84,0.770033997085964,-0.7827653468061625
0.5,0.973,0.867,0.847,0.85,0.7364864864864865,0.39668744019261315
0.585,0.939,0.775,0.863,0.845,0.7618405852907202,0.24466243829307882
0.5,0.944,0.784,0.822,0.815,0.721830985915493,0.0754423460695078
