bad_ls,good_ls,type1_ls,type2_ls,total accuracy_ls,AUC_ls,b_ls
0.839,0.764,0.58,0.924,0.785,0.8015873015873016,-0.1665531206711665
0.881,0.714,0.608,0.922,0.77,0.7974413646055437,0.48978279283059284
0.859,0.662,0.545,0.909,0.725,0.7605698529411764,0.23520766168184185
0.621,0.859,0.643,0.847,0.79,0.7399222923749392,0.08585856708213964
0.702,0.769,0.548,0.866,0.75,0.7354925775978407,0.6055838477429686
0.714,0.778,0.556,0.875,0.76,0.746031746031746,-0.4142051124683034
0.81,0.766,0.614,0.897,0.78,0.7879735835940215,-0.7672767649043061
0.867,0.65,0.515,0.919,0.715,0.7583333333333333,-0.27097200325737436
0.606,0.791,0.588,0.803,0.73,0.6985526910900045,0.04233588720202279
0.779,0.758,0.624,0.87,0.765,0.76849376114082,0.027032740844081395
0.673,0.885,0.673,0.885,0.83,0.7791060291060291,-0.2597941530797237
