bad_ls,good_ls,type1_ls,type2_ls,total accuracy_ls,AUC_ls,b_ls
0.651,0.912,0.774,0.85,0.83,0.7816012049588692,0.3624431343613244
0.702,0.928,0.75,0.91,0.875,0.8151161173689334,1.1236523666322336
0.576,0.925,0.792,0.816,0.81,0.750565355042967,0.5076990693567542
0.63,0.904,0.708,0.868,0.83,0.7668696093353627,0.3190486234535335
0.677,0.906,0.764,0.862,0.835,0.7916082281439926,0.4230230787566043
0.561,0.916,0.727,0.84,0.815,0.7387437124279229,0.05249402210357418
0.677,0.957,0.875,0.868,0.87,0.8169705469845723,1.2107623461495873
0.649,0.944,0.822,0.871,0.86,0.796589375536744,0.3582977882664648
0.667,0.861,0.689,0.849,0.8,0.7639902676399029,1.7929336531174316
0.617,0.907,0.74,0.847,0.82,0.761904761904762,0.22449683936012987
