bad_ls,good_ls,type1_ls,type2_ls,total accuracy_ls,AUC_ls,b_ls
0.774,0.681,0.522,0.87,0.71,0.7276764843384759,-0.1325125273073854
0.873,0.642,0.529,0.917,0.715,0.7576758197196154,-0.3736227316785175
0.683,0.636,0.446,0.824,0.65,0.6595238095238095,0.550592563903203
0.789,0.612,0.528,0.84,0.675,0.7005677475706956,-0.08661410008996508
0.825,0.629,0.47,0.9,0.685,0.7269660164397007,-0.27980828931077695
0.778,0.693,0.538,0.872,0.72,0.7356042173560422,0.9265462961906092
0.839,0.632,0.47,0.91,0.69,0.7356150793650794,-1.5484230991204049
0.77,0.691,0.522,0.873,0.715,0.7305696426465386,-0.0007495797047988665
0.103,0.986,0.75,0.729,0.73,0.5446818844099077,0.005129759278442236
0.75,0.688,0.483,0.876,0.705,0.71875,0.6262033994853999
