bad_ls,good_ls,type1_ls,type2_ls,total accuracy_ls,AUC_ls,b_ls
0.556,0.815,0.526,0.832,0.745,0.6853120243531203,1.7840253003967805
0.534,0.754,0.47,0.799,0.69,0.6440019426906266,0.2711191930953212
0.514,0.838,0.632,0.762,0.725,0.6763736263736263,0.313465255497823
0.574,0.822,0.544,0.839,0.755,0.6979959411466261,0.7061069236598435
0.574,0.784,0.538,0.807,0.72,0.6789715768368911,0.5620499230054516
0.509,0.841,0.549,0.819,0.75,0.6752351097178683,0.29915411040522033
0.609,0.794,0.582,0.812,0.735,0.7017463235294117,0.3968478781768756
0.672,0.796,0.574,0.856,0.76,0.7340942204953862,0.4865521553410392
0.644,0.787,0.559,0.841,0.745,0.7156509195816805,2.6725550919630288
0.509,0.83,0.519,0.824,0.745,0.6696829675266334,0.36355100885086034
