Approved loan,Duration (in months),Age (diference in years between te bithday and date of disbursement),Number of family members ,Number of years at the current address ,Current years at job,Monthly Installment of the loan-Converted,Other installments of other loans-Converted,Monthly Income ,Loan classification,Credit Registry Information_Not and has not been categorized,Credit Registry Information_Not have history,Credit Registry Information_been categorized,Credit Registry Information_currently categorized,Education_College/High school,Education_Elementary,Education_Secondary/Less than high school,Education_University,Education_Without education,Locale currency,Euros,Gender_Male,Gender_Female,Marital Status_Married,Marital Status_Single,Marital Status_Widowed,Marital Status_Divorced,Marital Status_Seperated,Employment_Public sector,Employment_Privated sector,Employment_Administator,Employment_Self_emplyed,Employment_Unemplyed,Residential Status_Owner,Residential Status_Co-owner,Residential Status_Live with parents,Residential Status_Rent,Residential Status_Others,Reference not from bank staff,Reference from bank staff,Reference_no information,Overdraft,Loan
180000.0,0.0,45.0,1.0,17.41,1.58,5000.0,0.0,68000.0,1.0,1,1,0,0,1,1,1,1,1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
70000.0,0.0,48.0,1.0,12.33,7.0,2000.0,8000.0,90000.0,1.0,1,1,0,0,1,1,1,1,1,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
100000.0,0.0,36.0,1.0,11.83,13.83,9400.0,0.0,150000.0,1.0,0,1,0,0,1,1,1,1,1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
500000.0,1.0,66.0,2.0,2.16,1.16,5000.0,0.0,100000.0,1.0,0,1,0,0,1,1,1,1,1,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
400000.0,1.0,57.0,2.0,7.75,5.75,4000.0,0.0,100000.0,1.0,0,1,0,0,1,1,1,0,1,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
242146.22,36.0,33.0,1.0,16.25,16.25,3000.0,2500.0,55000.0,1.0,1,1,0,0,1,1,1,1,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
500000.0,0.0,44.0,1.0,11.91,15.91,6667.0,0.0,150000.0,1.0,1,1,0,0,1,1,1,1,1,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
635375.56,48.0,52.0,1.0,33.5,16.5,15000.0,0.0,40000.0,1.0,1,1,0,0,1,1,1,1,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
500000.0,24.0,48.0,5.0,20.33,1.75,24000.0,0.0,137000.0,1.0,1,1,0,0,1,1,1,0,1,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
50000.0,0.0,56.0,4.0,25.91,26.91,3500.0,0.0,141500.0,1.0,1,1,0,0,1,1,1,0,1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
