,open_4,high_4,low_4,close_4,over_ema_4,trend_4,volume_diff_4,open_3,high_3,low_3,close_3,over_ema_3,trend_3,volume_diff_3,open_2,high_2,low_2,close_2,over_ema_2,trend_2,volume_diff_2,open_1,high_1,low_1,close_1,over_ema_1,trend_1,volume_diff_1,trend
4,5.47,5.47,-5.53,2.97,0.0,0.0,-0.4322,3.47,4.69,0.1,4.19,1.0,-1.0,-0.2335,2.56,4.22,1.03,1.66,0.0,-1.0,-0.246,2.88,3.06,-7.25,-6.9,0.0,-1.0,0.8564,-1.0
5,4.33,5.55,0.96,5.05,1.0,-1.0,-0.2335,3.42,5.08,1.89,2.52,0.0,-1.0,-0.246,3.74,3.92,-6.39,-6.04,0.0,-1.0,0.8564,-6.11,2.08,-6.92,0.67,0.0,-1.0,-0.164,-1.0
6,4.67,6.33,3.14,3.77,0.0,-1.0,-0.246,4.99,5.17,-5.14,-4.79,0.0,-1.0,0.8564,-4.86,3.33,-5.67,1.92,0.0,-1.0,-0.164,1.89,3.89,-2.64,-1.98,0.0,-1.0,-0.0648,-1.0
7,6.26,6.44,-3.87,-3.52,0.0,-1.0,0.8564,-3.59,4.6,-4.4,3.19,0.0,-1.0,-0.164,3.16,5.16,-1.37,-0.71,0.0,-1.0,-0.0648,0.38,1.82,-4.78,-4.09,0.0,-1.0,0.2682,1.0
8,-3.87,4.32,-4.68,2.91,0.0,-1.0,-0.164,2.88,4.88,-1.65,-0.99,0.0,-1.0,-0.0648,0.1,1.54,-5.06,-4.37,0.0,-1.0,0.2682,-4.49,-2.21,-6.59,-6.35,0.0,1.0,0.2426,1.0
9,2.82,4.82,-1.71,-1.05,0.0,-1.0,-0.0648,0.04,1.48,-5.12,-4.43,0.0,-1.0,0.2682,-4.55,-2.27,-6.65,-6.41,0.0,1.0,0.2426,-6.36,1.98,-7.02,1.38,1.0,1.0,-0.1344,1.0
10,-0.99,0.45,-6.15,-5.46,0.0,-1.0,0.2682,-5.58,-3.3,-7.68,-7.44,0.0,1.0,0.2426,-7.39,0.95,-8.05,0.35,1.0,1.0,-0.1344,0.04,1.23,-5.74,-0.65,1.0,1.0,0.1715,1.0
11,-7.32,-5.04,-9.42,-9.18,0.0,1.0,0.2426,-9.13,-0.79,-9.79,-1.39,1.0,1.0,-0.1344,-1.7,-0.51,-7.48,-2.39,1.0,1.0,0.1715,-5.82,5.49,-6.82,4.43,1.0,1.0,0.1348,-1.0
12,-10.16,-1.82,-10.82,-2.42,1.0,1.0,-0.1344,-2.73,-1.54,-8.51,-3.42,1.0,1.0,0.1715,-6.85,4.46,-7.85,3.4,1.0,1.0,0.1348,3.34,12.21,0.96,10.02,1.0,-1.0,-0.1152,-1.0
13,-3.73,-2.54,-9.51,-4.42,1.0,1.0,0.1715,-7.85,3.46,-8.85,2.4,1.0,1.0,0.1348,2.34,11.21,-0.04,9.02,1.0,-1.0,-0.1152,8.84,9.24,2.58,5.84,1.0,-1.0,-0.2934,-1.0
